GO_0003674|molecular_function
GO_0140998|histone H2B kinase activity
GO_0044026|obsolete DNA hypermethylation
GO_0044027|negative regulation of gene expression via CpG island methylation
GO_0044028|obsolete DNA hypomethylation
GO_0044029|positive regulation of gene expression via CpG island demethylation
GO_0045815|transcription initiation-coupled chromatin remodeling
GO_0044030|regulation of DNA methylation
GO_0044031|obsolete modification by symbiont of host protein by phosphorylation
GO_0044032|modulation by symbiont of indole acetic acid levels in host
GO_0052019|modulation by symbiont of host hormone or growth regulator levels
GO_0044033|obsolete multi-organism metabolic process
GO_0044034|obsolete multi-organism biosynthetic process
GO_0044035|obsolete multi-organism catabolic process
GO_0044037|obsolete multi-organism cell wall macromolecule metabolic process
GO_0044039|
GO_0044040|obsolete multi-organism carbohydrate metabolic process
GO_0044041|obsolete multi-organism carbohydrate catabolic process
GO_0044043|obsolete multi-organism glucan metabolic process
GO_0044044|obsolete interaction with host via substance in symbiont surface
GO_0044045|obsolete interaction with host via substance in symbiont cell outer membrane
GO_0044046|obsolete interaction with host via substance released outside of symbiont
GO_0044047|obsolete interaction with host via protein secreted by type I secretion system
GO_0044048|obsolete interaction with host via protein secreted by type V secretion system
GO_0044049|obsolete interaction with host via protein secreted by type VI secretion system
GO_0044050|obsolete interaction with host via substance released by sporangium lysis
GO_0044051|obsolete interaction with host via substance released by symbiont cytolysis
GO_0044052|obsolete interaction with host via substance released by membrane budding
GO_0044053|translocation of peptides or proteins into host cell cytoplasm
GO_0044054|
GO_0052039|symbiont-mediated perturbation of host cytoskeleton
GO_0044055|
GO_0044056|obsolete modulation by symbiont of host digestive system process
GO_0044059|obsolete modulation by symbiont of host endocrine process
GO_0044061|obsolete modulation by symbiont of host excretion
GO_0044063|obsolete modulation by symbiont of host nervous system process
GO_0044064|obsolete modulation by symbiont of host respiratory system process
GO_0044066|symbiont-mediated disruption of host cell nucleus
GO_0044067|symbiont-mediated perturbation of host cell-cell junction
GO_0044069|modulation by symbiont of host anion transport
GO_0044070|regulation of monoatomic anion transport
GO_0044072|suppression of host cell cycle progression
GO_0044074|negative regulation by symbiont of host translation
GO_0044075|modulation by symbiont of host vacuole organization
GO_0044076|positive regulation by symbiont of host vacuole organization
GO_0044090|positive regulation of vacuole organization
GO_0044077|modulation by symbiont of host receptor-mediated endocytosis
GO_0044078|positive regulation by symbiont of host receptor-mediated endocytosis
GO_0044079|modulation by symbiont of host neurotransmitter secretion
GO_0044080|perturbation of host cGMP-mediated signal transduction
GO_0044081|obsolete symbiont-mediated suppression of host nitric oxide-mediated signaling
GO_0044082|perturbation of host small GTPase mediated signal transduction
GO_0051056|regulation of small GTPase mediated signal transduction
GO_0044083|perturbation of host Rho protein signal transduction
GO_0044084|host cell membrane pore complex
GO_0044086|
GO_0044095|host cell nucleoplasm
GO_0044096|type IV pilus
GO_0044098|DNA secretion by the type IV secretion system
GO_0044099|polar tube
GO_0044100|sporoplasm
GO_0044101|(3R)-citramalyl-CoA lyase activity
GO_0044102|purine deoxyribosyltransferase activity
GO_0044103|L-arabinose 1-dehydrogenase (NADP+) activity
GO_0044104|2,5-dioxovalerate dehydrogenase (NAD+) activity
GO_0044105|L-xylulose reductase (NAD+) activity
GO_0044106|
GO_0044107|obsolete cellular alcohol metabolic process
GO_0044108|obsolete cellular alcohol biosynthetic process
GO_0044109|obsolete cellular alcohol catabolic process
GO_0044110|obsolete growth involved in symbiotic interaction
GO_0044111|formation of structure involved in a symbiotic process
GO_0044112|
GO_0044113|obsolete development in other organism involved in symbiotic interaction
GO_0044114|development of symbiont in host
GO_0044115|
GO_0044116|
GO_0044117|
GO_0044118|obsolete development of symbiont in host cell
GO_0044119|
GO_0044120|obsolete development of symbiont in host vacuole
GO_0044121|
GO_0044122|
GO_0044123|
GO_0044124|
GO_0044125|
GO_0044126|obsolete regulation of growth of symbiont in host
GO_0044127|regulation of development of symbiont in host
GO_0044145|modulation of formation of structure involved in a symbiotic process
GO_0044128|obsolete positive regulation of growth of symbiont in host
GO_0044129|positive regulation of development of symbiont in host
GO_0044149|positive regulation of formation of structure involved in a symbiotic process
GO_0044130|obsolete negative regulation of growth of symbiont in host
GO_0044131|negative regulation of development of symbiont in host
GO_0044147|negative regulation of formation of structure involved in a symbiotic process
GO_0044132|obsolete development of symbiont on or near host
GO_0044133|obsolete growth of symbiont on or near host
GO_0044134|obsolete development of symbiont on or near host phyllosphere
GO_0044135|obsolete growth of symbiont on or near host phyllosphere
GO_0044136|obsolete development of symbiont on or near host rhizosphere
GO_0044137|obsolete growth of symbiont on or near host rhizosphere
GO_0044138|obsolete modulation of development of symbiont on or near host
GO_0044139|obsolete modulation of growth of symbiont on or near host
GO_0044140|obsolete negative regulation of growth of symbiont on or near host surface
GO_0044141|obsolete negative regulation of development of symbiont on or near host surface
GO_0044142|obsolete positive regulation of growth of symbiont on or near host surface
GO_0044143|obsolete positive regulation of development of symbiont on or near host surface
GO_0044144|obsolete modulation of growth of symbiont involved in interaction with host
GO_0044146|obsolete negative regulation of growth of symbiont involved in interaction with host
GO_0044148|obsolete positive regulation of growth of symbiont involved in interaction with host
GO_0044150|obsolete development of host on or near symbiont surface
GO_0044151|obsolete growth of host on or near symbiont surface
GO_0044152|
GO_0044153|
GO_0044154|histone H3-K14 acetylation
GO_0044155|host caveola
GO_0044156|host cell junction
GO_0044157|host cell projection
GO_0044158|host cell wall
GO_0044159|host thylakoid
GO_0044161|host cell cytoplasmic vesicle
GO_0044162|host cell cytoplasmic vesicle membrane
GO_0044163|host cytoskeleton
GO_0044164|host cell cytosol
GO_0044165|host cell endoplasmic reticulum
GO_0044166|host cell endoplasmic reticulum lumen
GO_0044167|host cell endoplasmic reticulum membrane
GO_0044168|host cell rough endoplasmic reticulum
GO_0044169|host cell rough endoplasmic reticulum membrane
GO_0044170|host cell smooth endoplasmic reticulum
GO_0044171|host cell smooth endoplasmic reticulum membrane
GO_0044172|host cell endoplasmic reticulum-Golgi intermediate compartment
GO_0044173|host cell endoplasmic reticulum-Golgi intermediate compartment membrane
GO_0044174|host cell endosome
GO_0044175|host cell endosome membrane
GO_0044176|host cell filopodium
GO_0044177|host cell Golgi apparatus
GO_0044178|host cell Golgi membrane
GO_0044179|hemolysis in another organism
GO_0044180|filamentous growth of a unicellular organism
GO_0044181|filamentous growth of a multicellular organism
GO_0044183|protein folding chaperone
GO_0051082|unfolded protein binding
GO_0044184|host cell late endosome
GO_0044185|host cell late endosome membrane
GO_0044186|host cell lipid droplet
GO_0044187|host cell lysosome
GO_0044188|host cell lysosomal membrane
GO_0044189|obsolete host cell microsome
GO_0044190|host cell mitochondrial envelope
GO_0044191|host cell mitochondrial membrane
GO_0044192|host cell mitochondrial inner membrane
GO_0044193|host cell mitochondrial outer membrane
GO_0044194|cytolytic granule
GO_0044195|nucleoplasmic reticulum
GO_0044196|host cell nucleolus
GO_0044197|Rel homology domain binding
GO_0044198|zf-TRAF domain binding
GO_0044199|host cell nuclear envelope
GO_0044200|host cell nuclear membrane
GO_0044201|host cell nuclear inner membrane
GO_0044202|host cell nuclear outer membrane
GO_0044203|host cell nuclear lamina
GO_0044204|host cell nuclear matrix
GO_0044205|'de novo' UMP biosynthetic process
GO_0044206|UMP salvage
GO_0044207|translation initiation ternary complex
GO_0044208|'de novo' AMP biosynthetic process
GO_0044209|AMP salvage
GO_0044210|'de novo' CTP biosynthetic process
GO_0044211|CTP salvage
GO_0044212|
GO_0044213|
GO_0044214|obsolete spanning component of plasma membrane
GO_0044215|obsolete other organism
GO_0044216|obsolete other organism cell
GO_0044217|other organism part
GO_0044218|other organism cell membrane
GO_0044219|host cell plasmodesma
GO_0044220|host cell perinuclear region of cytoplasm
GO_0044221|host cell synapse
GO_0044222|anammoxosome
GO_0044223|pirellulosome
GO_0044224|juxtaparanode region of axon
GO_0044225|apical pole of neuron
GO_0060187|cell pole
GO_0044226|basal pole of neuron
GO_0044227|methane-oxidizing organelle
GO_0044228|host cell surface
GO_0044229|host cell periplasmic space
GO_0044231|host cell presynaptic membrane
GO_0044232|organelle membrane contact site
GO_0044234|
GO_0044235|
GO_0044236|
GO_0044239|obsolete salivary polysaccharide catabolic process
GO_0044240|
GO_0044243|
GO_0044244|
GO_0044245|polysaccharide digestion
GO_0044246|
GO_0044247|obsolete cellular polysaccharide catabolic process
GO_0044250|negative regulation of metabolic activity involved in hibernation
GO_0044251|obsolete protein catabolic process by pepsin
GO_0044252|
GO_0044253|
GO_0044254|
GO_0044256|protein digestion
GO_0044257|
GO_0044258|intestinal lipid catabolic process
GO_0044259|
GO_0044260|obsolete cellular macromolecule metabolic process
GO_0044261|
GO_0044263|
GO_0044264|obsolete cellular polysaccharide metabolic process
GO_0044266|
GO_0044267|
GO_0044268|
GO_0044269|glycerol ether catabolic process
GO_0044274|
GO_0044275|obsolete cellular carbohydrate catabolic process
GO_0044276|
GO_0044278|disruption of cell wall in another organism
GO_0140975|disruption of cellular anatomical structure in another organism
GO_0044279|
GO_0044280|subplasmalemmal coating
GO_0044284|mitochondrial crista junction
GO_0044285|
GO_0044289|mitochondrial inner-outer membrane contact site
GO_0044286|peg and socket contact
GO_0044287|
GO_0044288|puncta adhaerentia
GO_0044290|mitochondrial intracristal space
GO_0044292|dendrite terminus
GO_0044293|dendriole
GO_0044294|dendritic growth cone
GO_0044295|axonal growth cone
GO_0044296|dendritic tuft
GO_0044299|C-fiber
GO_0044300|cerebellar mossy fiber
GO_0044301|climbing fiber
GO_0044302|dentate gyrus mossy fiber
GO_0097457|hippocampal mossy fiber
GO_0044303|axon collateral
GO_0044305|calyx of Held
GO_0044307|dendritic branch
GO_0044308|axonal spine
GO_0044310|osmiophilic body
GO_0044311|exoneme
GO_0044312|crystalloid
GO_0044313|protein K6-linked deubiquitination
GO_0044314|protein K27-linked ubiquitination
GO_0044315|protein secretion by the type VII secretion system
GO_0044316|cone cell pedicle
GO_0044317|rod spherule
GO_0044318|L-aspartate:fumarate oxidoreductase activity
GO_0090505|epiboly involved in wound healing
GO_0044321|response to leptin
GO_0044322|endoplasmic reticulum quality control compartment
GO_0044323|retinoic acid-responsive element binding
GO_0044324|obsolete regulation of transcription involved in anterior/posterior axis specification
GO_0044326|dendritic spine neck
GO_0044327|dendritic spine head
GO_0044328|canonical Wnt signaling pathway involved in positive regulation of endothelial cell migration
GO_0060070|canonical Wnt signaling pathway
GO_0044329|canonical Wnt signaling pathway involved in positive regulation of cell-cell adhesion
GO_0044330|canonical Wnt signaling pathway involved in positive regulation of wound healing
GO_0044331|cell-cell adhesion mediated by cadherin
GO_0044332|Wnt signaling pathway involved in dorsal/ventral axis specification
GO_0044333|Wnt signaling pathway involved in digestive tract morphogenesis
GO_0044334|canonical Wnt signaling pathway involved in positive regulation of epithelial to mesenchymal transition
GO_0044335|canonical Wnt signaling pathway involved in neural crest cell differentiation
GO_0044336|canonical Wnt signaling pathway involved in negative regulation of apoptotic process
GO_0044337|canonical Wnt signaling pathway involved in positive regulation of apoptotic process
GO_0044338|canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation
GO_0072497|mesenchymal stem cell differentiation
GO_0044339|canonical Wnt signaling pathway involved in osteoblast differentiation
GO_0044341|sodium-dependent phosphate transport
GO_0044342|type B pancreatic cell proliferation
GO_0044343|canonical Wnt signaling pathway involved in regulation of type B pancreatic cell proliferation
GO_0061469|regulation of type B pancreatic cell proliferation
GO_0071774|response to fibroblast growth factor
GO_0044345|stromal-epithelial cell signaling involved in prostate gland development
GO_0044346|fibroblast apoptotic process
GO_0044348|plant-type cell wall cellulose catabolic process
GO_0052541|plant-type cell wall cellulose metabolic process
GO_0044350|micropinocytosis
GO_0044351|macropinocytosis
GO_0044352|pinosome
GO_0044353|micropinosome
GO_0044354|macropinosome
GO_0099046|clearance of foreign intracellular nucleic acids
GO_0044356|
GO_0044357|regulation of rRNA stability
GO_1902374|regulation of rRNA catabolic process
GO_0044358|envenomation resulting in hemorrhagic damage in another organism
GO_0044359|modulation of molecular function in another organism
GO_0044360|modulation of voltage-gated potassium channel activity in another organism
GO_0044363|modulation of potassium channel activity in another organism
GO_0044361|negative regulation of voltage-gated potassium channel activity in another organism
GO_0044362|negative regulation of molecular function in another organism
GO_0044364|obsolete disruption of cells of another organism
GO_0044365|envenomation resulting in modulation of platelet aggregation in another organism
GO_0044468|envenomation resulting in modulation of blood coagulation in another organism
GO_0044366|
GO_0044367|
GO_0044368|
GO_0044369|
GO_0044370|
GO_0044371|
GO_0044372|
GO_0044373|cytokinin binding
GO_0044374|sequence-specific DNA binding, bending
GO_0044375|regulation of peroxisome size
GO_0044376|obsolete RNA polymerase II complex import to nucleus
GO_0044377|RNA polymerase II cis-regulatory region sequence-specific DNA binding, bending
GO_0044378|non-sequence-specific DNA binding, bending
GO_0044379|protein localization to actin cortical patch
GO_0072697|protein localization to cell cortex
GO_1903119|protein localization to actin cytoskeleton
GO_0044381|glucose import in response to insulin stimulus
GO_0046323|glucose import
GO_0044382|CLRC complex localization to heterochromatin
GO_0097355|protein localization to heterochromatin
GO_0044383|host chromosome
GO_0044385|obsolete integral to membrane of host cell
GO_0044386|obsolete integral to host endoplasmic reticulum membrane
GO_0044387|negative regulation of protein kinase activity by regulation of protein phosphorylation
GO_0044392|peptidyl-lysine malonylation
GO_0044394|protein malonylation
GO_0044393|microspike
GO_0044395|protein targeting to vacuolar membrane
GO_1903778|protein localization to vacuolar membrane
GO_0044397|obsolete actin cortical patch internalization
GO_0044398|envenomation resulting in induction of edema in another organism
GO_0044400|
GO_0044401|
GO_0044402|obsolete competition with other organism
GO_0044404|
GO_0044405|obsolete detection of host
GO_0044406|adhesion of symbiont to host
GO_0044408|obsolete growth or development of symbiont on or near host
GO_0044410|obsolete entry into host through natural portals
GO_0044411|
GO_0044412|obsolete growth or development of symbiont in host
GO_0044413|
GO_0044415|
GO_0044416|induction by symbiont of host defense response
GO_0044418|translocation of DNA into host
GO_0044420|obsolete extracellular matrix component
GO_0044421|obsolete extracellular region part
GO_0044422|obsolete organelle part
GO_0044424|obsolete intracellular part
GO_0044425|obsolete membrane part
GO_0044426|obsolete cell wall part
GO_0044427|obsolete chromosomal part
GO_0044428|obsolete nuclear part
GO_0044429|obsolete mitochondrial part
GO_0044430|obsolete cytoskeletal part
GO_0044431|obsolete Golgi apparatus part
GO_0044432|obsolete endoplasmic reticulum part
GO_0044433|obsolete cytoplasmic vesicle part
GO_0044434|obsolete chloroplast part
GO_0044435|obsolete plastid part
GO_0044436|obsolete thylakoid part
GO_0044437|obsolete vacuolar part
GO_0044438|obsolete microbody part
GO_0044439|obsolete peroxisomal part
GO_0044440|obsolete endosomal part
GO_0044441|obsolete ciliary part
GO_0044442|
GO_0044443|obsolete pilus part
GO_0044444|obsolete cytoplasmic part
GO_0044445|obsolete cytosolic part
GO_0044446|obsolete intracellular organelle part
GO_0044447|obsolete axoneme part
GO_0044448|obsolete cell cortex part
GO_0044449|obsolete contractile fiber part
GO_0044450|obsolete microtubule organizing center part
GO_0044451|obsolete nucleoplasm part
GO_0044452|obsolete nucleolar part
GO_0044453|obsolete nuclear membrane part
GO_0044454|obsolete nuclear chromosome part
GO_0044455|obsolete mitochondrial membrane part
GO_0044456|obsolete synapse part
GO_0044457|obsolete cell septum part
GO_0044458|motile cilium assembly
GO_0044459|obsolete plasma membrane part
GO_0044460|obsolete flagellum part
GO_0044461|obsolete bacterial-type flagellum part
GO_0044462|obsolete external encapsulating structure part
GO_0044463|obsolete cell projection part
GO_0044464|obsolete cell part
GO_0044465|modulation of sensory perception of pain in another organism
GO_0051930|regulation of sensory perception of pain
GO_0044466|glutaryl-CoA hydrolase activity
GO_0044467|glial cell-derived neurotrophic factor production
GO_0044469|envenomation resulting in positive regulation of blood coagulation in another organism
GO_0044483|envenomation resulting in impairment of hemostasis in another organism
GO_0044470|envenomation resulting in negative regulation of blood coagulation in another organism
GO_0044471|envenomation resulting in pore formation in membrane of another organism
GO_0044472|envenomation resulting in modulation of calcium channel activity in another organism
GO_0044560|envenomation resulting in modulation of ion channel activity in another organism
GO_0044473|envenomation resulting in negative regulation of calcium channel activity in another organism
GO_0044474|envenomation resulting in negative regulation of voltage-gated calcium channel activity in another organism
GO_0044475|envenomation resulting in negative regulation of high voltage-gated calcium channel activity in another organism
GO_0044476|envenomation resulting in negative regulation of low voltage-gated calcium channel activity in another organism
GO_0044477|envenomation resulting in negative regulation of platelet aggregation in another organism
GO_0044478|envenomation resulting in positive regulation of platelet aggregation in another organism
GO_0044479|envenomation resulting in modulation of mast cell degranulation in another organism
GO_0044480|envenomation resulting in positive regulation of mast cell degranulation in another organism
GO_0044481|obsolete envenomation resulting in proteolysis in another organism
GO_0044482|envenomation resulting in blood vessel extracellular matrix damage, causing hemorrhagic damage in another organism
GO_0044484|envenomation resulting in fibrinolysis in another organism
GO_0044485|envenomation resulting in fibrinogenolysis in another organism
GO_0044536|envenomation resulting in depletion of circulating fibrinogen in another organism
GO_0044486|modulation of transmission of nerve impulse in another organism
GO_0051969|regulation of transmission of nerve impulse
GO_0044487|envenomation resulting in modulation of transmission of nerve impulse in another organism
GO_0044488|modulation of voltage-gated sodium channel activity in another organism
GO_0044489|negative regulation of voltage-gated sodium channel activity in another organism
GO_0044490|positive regulation of voltage-gated sodium channel activity in another organism
GO_0044491|positive regulation of molecular function in another organism
GO_0044492|envenomation resulting in modulation of voltage-gated sodium channel activity in another organism
GO_0044493|envenomation resulting in negative regulation of voltage-gated sodium channel activity in another organism
GO_0044494|envenomation resulting in positive regulation of voltage-gated sodium channel activity in another organism
GO_0044495|modulation of blood pressure in another organism
GO_0044553|modulation of biological quality in another organism
GO_0044496|negative regulation of blood pressure in another organism
GO_0044497|positive regulation of blood pressure in another organism
GO_0044498|envenomation resulting in modulation of blood pressure in another organism
GO_0044499|envenomation resulting in positive regulation of blood pressure in another organism
GO_0044500|envenomation resulting in negative regulation of blood pressure in another organism
GO_0044501|perturbation of signal transduction in another organism
GO_0044502|
GO_0052028|symbiont-mediated activation of host signal transduction pathway
GO_0044503|modulation of G protein-coupled receptor activity in another organism
GO_0044504|modulation of receptor activity in another organism
GO_0044505|positive regulation of G protein-coupled receptor activity in another organism
GO_0044507|positive regulation of receptor activity in another organism
GO_0044506|modulation of glucagon-like peptide receptor 1 activity in another organism
GO_0044508|glucagon-like peptide 1 receptor activity
GO_0044509|envenomation resulting in modulation of signal transduction in another organism
GO_0044510|envenomation resulting in positive regulation of signal transduction in another organism
GO_0044511|envenomation resulting in modulation of receptor activity in another organism
GO_0044512|envenomation resulting in modulation of glucagon-like peptide receptor 1 activity in another organism
GO_0044513|envenomation resulting in modulation of G protein-coupled receptor activity in another organism
GO_0044514|envenomation resulting in positive regulation of G protein-coupled receptor activity in another organism
GO_0044515|envenomation resulting in positive regulation of glucagon-like peptide receptor 1 activity in another organism
GO_0044516|positive regulation of glucagon-like peptide receptor 1 activity in another organism
GO_0044517|modulation of vasoactive intestinal polypeptide receptor activity in another organism
GO_0044518|positive regulation of vasoactive intestinal polypeptide receptor activity in another organism
GO_0044519|envenomation resulting in modulation of vasoactive intestinal polypeptide receptor activity in another organism
GO_0044520|envenomation resulting in positive regulation of vasoactive intestinal polypeptide receptor activity in another organism
GO_0044521|envenomation resulting in muscle damage in another organism
GO_0044522|envenomation resulting in myocyte killing in another organism
GO_0044523|envenomation resulting in damage of muscle extracellular matrix in another organism
GO_0044524|protein sulfhydration
GO_0044525|peptidyl-cystine sulfhydration
GO_0044526|formation of peptidyl-cystine persulfide by sulphur transfer from free cysteine
GO_0044527|formation of peptidyl-cystine persulfide by sulphur transfer from H2S
GO_0044528|regulation of mitochondrial mRNA stability
GO_0044529|regulation of mitochondrial rRNA stability
GO_0044530|supraspliceosomal complex
GO_0044531|
GO_0051709|regulation of killing of cells of another organism
GO_0044532|modulation of apoptotic process in another organism
GO_0044533|positive regulation of apoptotic process in another organism
GO_0044534|envenomation resulting in modulation of apoptotic process in another organism
GO_0044535|very-long-chain fatty acyl-CoA oxidase activity
GO_0061754|negative regulation of circulating fibrinogen levels
GO_0044537|regulation of circulating fibrinogen levels
GO_0044538|host cell periphery
GO_0140354|lipid import into cell
GO_0044540|L-cystine L-cysteine-lyase (deaminating)
GO_0044541|zymogen activation in another organism
GO_0044542|plasminogen activation in another organism
GO_0044543|obsolete envenomation resulting in zymogen activation in another organism
GO_0044544|envenomation resulting in plasminogen activation in another organism
GO_0044545|NSL complex
GO_0044546|NLRP3 inflammasome complex assembly
GO_0140632|canonical inflammasome complex assembly
GO_0044548|S100 protein binding
GO_0044551|envenomation resulting in vasodilation in another organism
GO_0044552|vasodilation in another organism
GO_0044554|modulation of heart rate in another organism
GO_0044555|negative regulation of heart rate in another organism
GO_0044556|envenomation resulting in negative regulation of heart rate in another organism
GO_0044557|relaxation of smooth muscle
GO_0090075|relaxation of muscle
GO_0044558|uterine smooth muscle relaxation
GO_0044559|envenomation resulting in modulation of voltage-gated potassium channel activity in another organism
GO_0044562|envenomation resulting in negative regulation of voltage-gated potassium channel activity in another organism
GO_0044563|envenomation resulting in slowing of activation kinetics of voltage-gated potassium channel in another organism
GO_0044564|envenomation resulting in occlusion of the pore of voltage-gated potassium channel in another organism
GO_0044565|dendritic cell proliferation
GO_0044566|chondrocyte activation
GO_0044567|primary cell wall cellulose synthase complex
GO_0044568|secondary cell wall cellulose synthase complex
GO_0044569|[Ni-Fe] hydrogenase complex
GO_0044570|starch utilization system complex
GO_0044571|[2Fe-2S] cluster assembly
GO_0044572|[4Fe-4S] cluster assembly
GO_0044573|nitrogenase P cluster assembly
GO_0044574|starch utilization system complex assembly
GO_0044575|cellulosome assembly
GO_0044576|pentose catabolic process to ethanol
GO_0044577|xylose catabolic process to ethanol
GO_0044578|butyryl-CoA biosynthetic process
GO_0044579|butyryl-CoA biosynthetic process from acetyl-CoA
GO_0044580|butyryl-CoA catabolic process
GO_0044581|butyryl-CoA catabolic process to butyrate
GO_0044582|butyryl-CoA catabolic process to butanol
GO_0071271|1-butanol biosynthetic process
GO_0044583|cellotriose binding
GO_0048031|trisaccharide binding
GO_0044584|cellodextrin binding
GO_0070492|oligosaccharide binding
GO_0044585|cellobiose binding
GO_0044586|cellotetraose binding
GO_0044587|cellopentaose binding
GO_0044588|laminaribiose binding
GO_0044589|pectin binding
GO_0048028|galacturonan binding
GO_0044590|iron-sulfur-molybdenum cofactor binding
GO_0044591|response to amylopectin
GO_0044592|response to pullulan
GO_0044593|iron-sulfur-molybdenum cofactor assembly
GO_0044594|17-beta-hydroxysteroid dehydrogenase (NAD+) activity
GO_0044595|decaprenyldihydroxybenzoate methyltransferase activity
GO_0044596|3-demethylubiquinol-10 3-O-methyltransferase activity
GO_0044597|daunorubicin metabolic process
GO_0044598|doxorubicin metabolic process
GO_0044599|AP-5 adaptor complex
GO_0044600|protein guanylyltransferase activity
GO_0044601|protein denucleotidylation
GO_0044602|protein deadenylylation
GO_0044603|protein adenylylhydrolase activity
GO_0044604|ABC-type phytochelatin transporter activity
GO_0071994|phytochelatin transmembrane transport
GO_0044605|phosphocholine transferase activity
GO_0044606|phosphocholine hydrolase activity
GO_0044607|obsolete disruption by symbiont of host endothelial cells
GO_0044608|obsolete peptidyl-L-threonine methyl ester biosynthetic process from peptidyl-threonine
GO_0044609|DBIRD complex
GO_0044610|FMN transmembrane transporter activity
GO_0044611|nuclear pore inner ring
GO_0044612|nuclear pore linkers
GO_0044613|nuclear pore central transport channel
GO_0044614|nuclear pore cytoplasmic filaments
GO_0044615|nuclear pore nuclear basket
GO_0044616|modulation of relaxation of muscle in another organism
GO_1901077|regulation of relaxation of muscle
GO_0044617|modulation of relaxation of smooth muscle in another organism
GO_1901080|regulation of relaxation of smooth muscle
GO_0044618|modulation of relaxation of uterine smooth muscle in another organism
GO_1900719|regulation of uterine smooth muscle relaxation
GO_0044619|positive regulation of relaxation of uterine smooth muscle in another organism
GO_1900721|positive regulation of uterine smooth muscle relaxation
GO_0051192|prosthetic group binding
GO_0044621|modulation of cell migration in another organism
GO_0044622|negative regulation of cell migration in another organism
GO_0044623|positive regulation of cell migration in another organism
GO_0044624|
GO_0044625|
GO_0044626|
GO_0044627|modulation of complement activation, classical pathway in another organism
GO_0044645|modulation of complement activation in another organism
GO_0044628|positive regulation of complement activation, classical pathway in another organism
GO_0045960|positive regulation of complement activation, classical pathway
GO_0044629|negative regulation of complement activation, classical pathway in another organism
GO_0045959|negative regulation of complement activation, classical pathway
GO_0044630|modulation of complement activation, lectin pathway in another organism
GO_0044631|positive regulation of complement activation, lectin pathway in another organism
GO_0044632|negative regulation of complement activation, lectin pathway in another organism
GO_0044633|modulation of complement activation, alternative pathway in another organism
GO_0044634|negative regulation of complement activation, alternative pathway in another organism
GO_0045957|negative regulation of complement activation, alternative pathway
GO_0044635|positive regulation of complement activation, alternative pathway in another organism
GO_0045958|positive regulation of complement activation, alternative pathway
GO_0044636|envenomation resulting in modulation of complement activation, classical pathway in another organism
GO_0044646|envenomation resulting in modulation of complement activation in another organism
GO_0044637|envenomation resulting in negative regulation of complement activation, classical pathway in another organism
GO_0044638|envenomation resulting in positive regulation of complement activation, classical pathway in another organism
GO_0044639|envenomation resulting in modulation of complement activation, lectin pathway in another organism
GO_0044640|envenomation resulting in negative regulation of complement activation, lectin pathway in another organism
GO_0044641|envenomation resulting in positive regulation of complement activation, lectin pathway in another organism
GO_0044642|envenomation resulting in modulation of complement activation, alternative pathway in another organism
GO_0044643|envenomation resulting in positive regulation of complement activation, alternative pathway in another organism
GO_0044644|envenomation resulting in negative regulation of complement activation, alternative pathway in another organism
GO_0044647|host-symbiont bicellular tight junction
GO_0044648|histone H3-K4 dimethylation
GO_0051568|histone H3-K4 methylation
GO_0044649|
GO_0044651|adhesion of symbiont to host epithelial cell
GO_0044652|adhesion of symbiont to host endothelial cell
GO_0044653|dextrin alpha-glucosidase activity
GO_0044654|starch alpha-glucosidase activity
GO_0044655|phagosome reneutralization
GO_0044656|regulation of post-lysosomal vacuole size
GO_0097494|regulation of vesicle size
GO_0044657|obsolete pore formation in membrane of other organism during symbiotic interaction
GO_0044660|viral release via pore formation in host cell membrane
GO_0044661|
GO_0044662|
GO_0044663|establishment or maintenance of cell type involved in phenotypic switching
GO_0044664|obsolete reversion of cell type to default state involved in phenotypic switching
GO_0044665|MLL1/2 complex
GO_0044666|MLL3/4 complex
GO_0044667|(R)-carnitine:4-(trimethylammonio)butanoate antiporter activity
GO_1901235|(R)-carnitine transmembrane transporter activity
GO_1901236|4-(trimethylammonio)butanoate transmembrane transporter activity
GO_0044668|sodium:malonate symporter activity
GO_1901239|malonate(1-) transmembrane transporter activity
GO_0044669|sodium:galactoside symporter activity
GO_0044670|
GO_0044671|sorocarp spore cell differentiation
GO_0048837|sorocarp sorus development
GO_0044672|acetyl-CoA decarbonylase/synthase-carbon monoxide dehydrogenase complex
GO_0044673|7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase complex
GO_0044674|methyl coenzyme M reductase complex
GO_0044675|formyl-methanofuran dehydrogenase (tungsten enzyme) complex
GO_0044676|formyl-methanofuran dehydrogenase (molybdenum enzyme) complex
GO_0044677|methyl-tetrahydromethanopterin:coenzyme M methyltransferase complex
GO_0044678|CoB-CoM heterodisulfide reductase complex
GO_0044679|methanophenazine reducing hydrogenase complex
GO_0044680|methylthiol:coenzyme M methyltransferase complex
GO_0044681|sulfopyruvate decarboxylase complex
GO_0044682|archaeal-specific GTP cyclohydrolase activity
GO_0044683|methylthiol:coenzyme M methyltransferase activity
GO_0044684|dihydromethanopterin reductase activity
GO_2001118|tetrahydromethanopterin biosynthetic process
GO_0044685|tetrahydromethanopterin-dependent serine hydroxymethyltransferase activity
GO_0044686|cysteate synthase activity
GO_0044687|geranylfarnesyl diphosphate synthase activity
